INSTNM,Agriculture,Natural Resources and Conservation,Architecture,Communication,Communications Technologies/Technicians,Computer And Information Sciences,Personal And Culinary Services,Education,Engineering,Engineering Technologies,"Foreign Languages, Literatures, And Linguistics",Family And Consumer Sciences/Human Sciences,Legal Professions And Studies,English Language And Literature/Letters,Liberal Arts And Sciences,Library Science,Biological And Biomedical Sciences,Mathematics And Statistics,Military Technologies And Applied Sciences,Multi/Interdisciplinary Studies,"Parks, Recreation, Leisure, And Fitness Studies",Philosophy And Religious Studies,Theology And Religious Vocations,Physical Sciences,Science Technologies/Technicians,Psychology,"Homeland Security, Law Enforcement, Firefighting And Related Protective Services", Public Administration And Social Service Professions,Social Sciences,Construction Trades,Mechanic And Repair Technologies/Technicians,Precision Production,Transportation And Materials Moving,Visual And Performing Arts,Health Professions And Related Programs,"Business, Management, Marketing, And Related Support Services",History
Arnolds Beauty School,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tennessee College of Applied Technology-Athens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.58,14.84,0.0,0.0,30.320000000000004,10.97,0.0
Austin Peay State University,2.44,0.0,0.0,5.1499999999999995,0.0,4.35,0.0,4.09,0.0,1.96,0.8500000000000001,0.0,0.0,2.12,19.17,0.0,2.97,0.58,0.0,0.0,9.29,0.11,0.0,2.55,0.0,4.3,6.05,3.82,2.92,0.0,0.0,0.0,0.0,2.97,10.25,12.27,1.7500000000000002
Baptist Memorial College of Health Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.8,0.0,0.0
Belmont University,0.0,0.22,0.0,4.66,6.04,0.29,0.0,1.09,0.06999999999999999,0.0,1.09,0.0,0.0,1.67,1.8900000000000001,0.0,2.33,0.58,0.0,1.8900000000000001,2.91,1.09,0.8,0.58,0.0,1.6,0.0,1.67,1.97,0.0,0.0,0.0,0.0,40.47,11.57,14.63,0.8699999999999999
Bethel University,0.0,0.0,0.0,0.0,0.0,0.25,0.0,4.21,0.0,0.0,0.0,0.0,0.0,0.62,0.5,0.0,1.6099999999999999,0.25,0.0,0.12,1.49,0.62,0.12,0.25,0.0,0.74,33.040000000000006,1.24,0.0,0.0,0.0,0.0,0.0,1.6099999999999999,4.7,48.39,0.25
Bryan College-Dayton,0.0,0.0,0.0,5.489999999999999,0.0,0.0,0.0,8.02,0.0,0.0,0.0,0.0,0.0,0.84,2.53,0.0,2.11,0.42,0.0,0.0,8.02,0.0,4.22,0.0,0.0,8.44,3.38,0.0,0.84,0.0,0.0,0.0,0.0,3.38,0.0,51.05,1.27
Carson-Newman University,0.0,0.0,0.0,3.06,0.0,0.0,0.0,15.049999999999999,0.0,0.0,1.53,2.04,0.0,2.04,2.81,0.0,5.87,1.28,0.0,0.51,4.08,3.83,0.26,2.04,0.0,9.950000000000001,0.0,2.81,3.06,0.0,0.0,0.0,0.0,6.12,16.07,17.09,0.51
Chattanooga State Community College,0.0,0.0,0.0,0.0,0.0,1.49,0.0,0.9900000000000001,2.27,10.92,0.0,1.4200000000000002,0.9900000000000001,0.0,35.74,0.0,0.0,0.0,0.0,0.27999999999999997,0.0,0.0,0.0,0.0,1.63,0.0,0.64,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,5.319999999999999,32.7,5.25,0.0
Christian Brothers University,0.0,0.0,0.38,0.0,0.0,2.64,0.0,0.75,14.719999999999999,0.38,0.0,0.0,0.0,2.64,1.51,0.0,7.920000000000001,0.75,0.0,6.04,3.4000000000000004,1.51,0.0,1.13,0.0,12.08,2.26,0.0,0.0,0.0,0.0,0.0,0.0,1.51,7.920000000000001,28.300000000000004,4.15
Pentecostal Theological Seminary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin's Beauty College Inc,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland State Community College,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.11,0.0,7.41,0.0,3.81,0.0,0.0,49.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,8.28,0.44,0.0,0.0,0.0,0.65,0.0,0.11,12.2,16.009999999999998,0.0
